RUN	BearStrengthSimulation	bearstrengthsimulation	1562681536126	 	3.1.2
USER	Buying Tickets	6	START	1562681537474	1562681537474
USER	Buying Tickets	1	START	1562681537474	1562681537474
USER	Buying Tickets	4	START	1562681537474	1562681537474
USER	Buying Tickets	21	START	1562681537485	1562681537485
USER	Buying Tickets	13	START	1562681537476	1562681537476
USER	Buying Tickets	3	START	1562681537474	1562681537474
USER	Buying Tickets	25	START	1562681537536	1562681537536
USER	Buying Tickets	27	START	1562681537537	1562681537537
USER	Buying Tickets	26	START	1562681537537	1562681537537
USER	Buying Tickets	28	START	1562681537537	1562681537537
USER	Buying Tickets	29	START	1562681537537	1562681537537
USER	Buying Tickets	32	START	1562681537538	1562681537538
USER	Buying Tickets	31	START	1562681537538	1562681537538
USER	Buying Tickets	18	START	1562681537481	1562681537481
USER	Buying Tickets	33	START	1562681537538	1562681537538
USER	Buying Tickets	34	START	1562681537539	1562681537539
USER	Buying Tickets	35	START	1562681537539	1562681537539
USER	Buying Tickets	36	START	1562681537539	1562681537539
USER	Buying Tickets	37	START	1562681537539	1562681537539
USER	Buying Tickets	38	START	1562681537540	1562681537540
USER	Buying Tickets	39	START	1562681537540	1562681537540
USER	Buying Tickets	40	START	1562681537540	1562681537540
USER	Buying Tickets	41	START	1562681537540	1562681537540
USER	Buying Tickets	20	START	1562681537484	1562681537484
USER	Buying Tickets	42	START	1562681537540	1562681537540
USER	Buying Tickets	44	START	1562681537540	1562681537540
USER	Buying Tickets	45	START	1562681537541	1562681537541
USER	Buying Tickets	46	START	1562681537541	1562681537541
USER	Buying Tickets	48	START	1562681537541	1562681537541
USER	Buying Tickets	47	START	1562681537541	1562681537541
USER	Buying Tickets	49	START	1562681537541	1562681537541
USER	Buying Tickets	50	START	1562681537541	1562681537541
USER	Buying Tickets	52	START	1562681537542	1562681537542
USER	Buying Tickets	53	START	1562681537542	1562681537542
USER	Buying Tickets	51	START	1562681537542	1562681537542
USER	Buying Tickets	54	START	1562681537542	1562681537542
USER	Buying Tickets	55	START	1562681537543	1562681537543
USER	Buying Tickets	57	START	1562681537543	1562681537543
USER	Buying Tickets	58	START	1562681537543	1562681537543
USER	Buying Tickets	56	START	1562681537543	1562681537543
USER	Buying Tickets	59	START	1562681537544	1562681537544
USER	Buying Tickets	61	START	1562681537544	1562681537544
USER	Buying Tickets	60	START	1562681537544	1562681537544
USER	Buying Tickets	62	START	1562681537544	1562681537544
USER	Buying Tickets	63	START	1562681537544	1562681537544
USER	Buying Tickets	65	START	1562681537544	1562681537544
USER	Buying Tickets	66	START	1562681537545	1562681537545
USER	Buying Tickets	64	START	1562681537544	1562681537544
USER	Buying Tickets	5	START	1562681537474	1562681537474
USER	Buying Tickets	67	START	1562681537545	1562681537545
USER	Buying Tickets	43	START	1562681537540	1562681537540
USER	Buying Tickets	71	START	1562681537546	1562681537546
USER	Buying Tickets	72	START	1562681537546	1562681537546
USER	Buying Tickets	73	START	1562681537546	1562681537546
USER	Buying Tickets	70	START	1562681537545	1562681537545
USER	Buying Tickets	74	START	1562681537546	1562681537546
USER	Buying Tickets	8	START	1562681537475	1562681537475
USER	Buying Tickets	76	START	1562681537547	1562681537547
USER	Buying Tickets	77	START	1562681537547	1562681537547
USER	Buying Tickets	79	START	1562681537547	1562681537547
USER	Buying Tickets	78	START	1562681537547	1562681537547
USER	Buying Tickets	80	START	1562681537547	1562681537547
USER	Buying Tickets	81	START	1562681537547	1562681537547
USER	Buying Tickets	83	START	1562681537548	1562681537548
USER	Buying Tickets	84	START	1562681537548	1562681537548
USER	Buying Tickets	85	START	1562681537548	1562681537548
USER	Buying Tickets	82	START	1562681537548	1562681537548
USER	Buying Tickets	86	START	1562681537548	1562681537548
USER	Buying Tickets	87	START	1562681537549	1562681537549
USER	Buying Tickets	90	START	1562681537549	1562681537549
USER	Buying Tickets	88	START	1562681537549	1562681537549
USER	Buying Tickets	92	START	1562681537550	1562681537550
USER	Buying Tickets	93	START	1562681537550	1562681537550
USER	Buying Tickets	94	START	1562681537550	1562681537550
USER	Buying Tickets	95	START	1562681537551	1562681537551
USER	Buying Tickets	96	START	1562681537551	1562681537551
USER	Buying Tickets	11	START	1562681537475	1562681537475
USER	Buying Tickets	14	START	1562681537477	1562681537477
USER	Buying Tickets	91	START	1562681537550	1562681537550
USER	Buying Tickets	99	START	1562681537552	1562681537552
USER	Buying Tickets	100	START	1562681537552	1562681537552
USER	Buying Tickets	101	START	1562681537552	1562681537552
USER	Buying Tickets	98	START	1562681537552	1562681537552
USER	Buying Tickets	103	START	1562681537553	1562681537553
USER	Buying Tickets	102	START	1562681537553	1562681537553
USER	Buying Tickets	105	START	1562681537553	1562681537553
USER	Buying Tickets	68	START	1562681537545	1562681537545
USER	Buying Tickets	106	START	1562681537553	1562681537553
USER	Buying Tickets	107	START	1562681537554	1562681537554
USER	Buying Tickets	108	START	1562681537554	1562681537554
USER	Buying Tickets	109	START	1562681537554	1562681537554
USER	Buying Tickets	110	START	1562681537554	1562681537554
USER	Buying Tickets	111	START	1562681537554	1562681537554
USER	Buying Tickets	112	START	1562681537554	1562681537554
USER	Buying Tickets	113	START	1562681537555	1562681537555
USER	Buying Tickets	114	START	1562681537555	1562681537555
USER	Buying Tickets	115	START	1562681537555	1562681537555
USER	Buying Tickets	69	START	1562681537545	1562681537545
USER	Buying Tickets	116	START	1562681537555	1562681537555
USER	Buying Tickets	118	START	1562681537556	1562681537556
USER	Buying Tickets	121	START	1562681537556	1562681537556
USER	Buying Tickets	120	START	1562681537556	1562681537556
USER	Buying Tickets	75	START	1562681537547	1562681537547
USER	Buying Tickets	122	START	1562681537557	1562681537557
USER	Buying Tickets	123	START	1562681537557	1562681537557
USER	Buying Tickets	124	START	1562681537557	1562681537557
USER	Buying Tickets	125	START	1562681537557	1562681537557
USER	Buying Tickets	89	START	1562681537549	1562681537549
USER	Buying Tickets	126	START	1562681537557	1562681537557
USER	Buying Tickets	131	START	1562681537558	1562681537558
USER	Buying Tickets	132	START	1562681537559	1562681537559
USER	Buying Tickets	97	START	1562681537551	1562681537551
USER	Buying Tickets	7	START	1562681537474	1562681537474
USER	Buying Tickets	133	START	1562681537560	1562681537560
USER	Buying Tickets	119	START	1562681537556	1562681537556
USER	Buying Tickets	15	START	1562681537478	1562681537478
USER	Buying Tickets	12	START	1562681537475	1562681537475
USER	Buying Tickets	129	START	1562681537558	1562681537558
USER	Buying Tickets	128	START	1562681537558	1562681537558
USER	Buying Tickets	140	START	1562681537566	1562681537566
USER	Buying Tickets	141	START	1562681537566	1562681537566
USER	Buying Tickets	142	START	1562681537566	1562681537566
USER	Buying Tickets	144	START	1562681537567	1562681537567
USER	Buying Tickets	145	START	1562681537568	1562681537568
USER	Buying Tickets	117	START	1562681537556	1562681537556
USER	Buying Tickets	146	START	1562681537568	1562681537568
USER	Buying Tickets	147	START	1562681537568	1562681537568
USER	Buying Tickets	148	START	1562681537569	1562681537569
USER	Buying Tickets	149	START	1562681537569	1562681537569
USER	Buying Tickets	150	START	1562681537569	1562681537569
USER	Buying Tickets	151	START	1562681537569	1562681537569
USER	Buying Tickets	152	START	1562681537570	1562681537570
USER	Buying Tickets	153	START	1562681537570	1562681537570
USER	Buying Tickets	154	START	1562681537570	1562681537570
USER	Buying Tickets	155	START	1562681537571	1562681537571
USER	Buying Tickets	156	START	1562681537571	1562681537571
