RUN	BearStrengthSimulation	bearstrengthsimulation	1562681293171	 	3.1.2
USER	Buying Tickets	137	START	1562681294477	1562681294477
USER	Buying Tickets	116	START	1562681294474	1562681294474
USER	Buying Tickets	138	START	1562681294477	1562681294477
USER	Buying Tickets	139	START	1562681294477	1562681294477
USER	Buying Tickets	140	START	1562681294477	1562681294477
USER	Buying Tickets	141	START	1562681294477	1562681294477
USER	Buying Tickets	142	START	1562681294478	1562681294478
USER	Buying Tickets	143	START	1562681294478	1562681294478
USER	Buying Tickets	145	START	1562681294478	1562681294478
USER	Buying Tickets	146	START	1562681294478	1562681294478
USER	Buying Tickets	144	START	1562681294478	1562681294478
USER	Buying Tickets	147	START	1562681294479	1562681294479
USER	Buying Tickets	148	START	1562681294479	1562681294479
USER	Buying Tickets	150	START	1562681294479	1562681294479
USER	Buying Tickets	149	START	1562681294479	1562681294479
USER	Buying Tickets	151	START	1562681294479	1562681294479
USER	Buying Tickets	152	START	1562681294479	1562681294479
USER	Buying Tickets	153	START	1562681294479	1562681294479
USER	Buying Tickets	154	START	1562681294479	1562681294479
USER	Buying Tickets	155	START	1562681294479	1562681294479
USER	Buying Tickets	119	START	1562681294474	1562681294474
USER	Buying Tickets	156	START	1562681294480	1562681294480
USER	Buying Tickets	157	START	1562681294480	1562681294480
USER	Buying Tickets	158	START	1562681294480	1562681294480
USER	Buying Tickets	160	START	1562681294480	1562681294480
USER	Buying Tickets	161	START	1562681294480	1562681294480
USER	Buying Tickets	159	START	1562681294480	1562681294480
USER	Buying Tickets	162	START	1562681294480	1562681294480
USER	Buying Tickets	163	START	1562681294480	1562681294480
USER	Buying Tickets	164	START	1562681294481	1562681294481
USER	Buying Tickets	165	START	1562681294481	1562681294481
USER	Buying Tickets	166	START	1562681294481	1562681294481
USER	Buying Tickets	167	START	1562681294481	1562681294481
USER	Buying Tickets	168	START	1562681294481	1562681294481
USER	Buying Tickets	169	START	1562681294481	1562681294481
USER	Buying Tickets	170	START	1562681294481	1562681294481
USER	Buying Tickets	171	START	1562681294481	1562681294481
USER	Buying Tickets	172	START	1562681294481	1562681294481
USER	Buying Tickets	173	START	1562681294482	1562681294482
USER	Buying Tickets	174	START	1562681294482	1562681294482
USER	Buying Tickets	175	START	1562681294482	1562681294482
USER	Buying Tickets	176	START	1562681294482	1562681294482
USER	Buying Tickets	178	START	1562681294482	1562681294482
USER	Buying Tickets	177	START	1562681294482	1562681294482
USER	Buying Tickets	179	START	1562681294482	1562681294482
USER	Buying Tickets	181	START	1562681294482	1562681294482
USER	Buying Tickets	180	START	1562681294482	1562681294482
USER	Buying Tickets	183	START	1562681294483	1562681294483
USER	Buying Tickets	184	START	1562681294483	1562681294483
USER	Buying Tickets	185	START	1562681294483	1562681294483
USER	Buying Tickets	186	START	1562681294483	1562681294483
USER	Buying Tickets	187	START	1562681294483	1562681294483
USER	Buying Tickets	5	START	1562681294409	1562681294409
USER	Buying Tickets	13	START	1562681294410	1562681294410
USER	Buying Tickets	37	START	1562681294464	1562681294464
USER	Buying Tickets	188	START	1562681294483	1562681294483
USER	Buying Tickets	189	START	1562681294484	1562681294484
USER	Buying Tickets	193	START	1562681294484	1562681294484
USER	Buying Tickets	194	START	1562681294484	1562681294484
USER	Buying Tickets	122	START	1562681294475	1562681294475
USER	Buying Tickets	195	START	1562681294484	1562681294484
USER	Buying Tickets	196	START	1562681294484	1562681294484
USER	Buying Tickets	191	START	1562681294484	1562681294484
USER	Buying Tickets	198	START	1562681294485	1562681294485
USER	Buying Tickets	197	START	1562681294485	1562681294485
USER	Buying Tickets	199	START	1562681294485	1562681294485
USER	Buying Tickets	201	START	1562681294485	1562681294485
USER	Buying Tickets	192	START	1562681294484	1562681294484
USER	Buying Tickets	202	START	1562681294485	1562681294485
USER	Buying Tickets	203	START	1562681294485	1562681294485
USER	Buying Tickets	204	START	1562681294485	1562681294485
USER	Buying Tickets	205	START	1562681294485	1562681294485
USER	Buying Tickets	207	START	1562681294485	1562681294485
USER	Buying Tickets	206	START	1562681294485	1562681294485
USER	Buying Tickets	208	START	1562681294486	1562681294486
USER	Buying Tickets	209	START	1562681294486	1562681294486
USER	Buying Tickets	210	START	1562681294486	1562681294486
USER	Buying Tickets	190	START	1562681294484	1562681294484
USER	Buying Tickets	133	START	1562681294476	1562681294476
USER	Buying Tickets	212	START	1562681294486	1562681294486
USER	Buying Tickets	213	START	1562681294486	1562681294486
USER	Buying Tickets	214	START	1562681294486	1562681294486
USER	Buying Tickets	215	START	1562681294486	1562681294486
USER	Buying Tickets	218	START	1562681294487	1562681294487
USER	Buying Tickets	217	START	1562681294487	1562681294487
USER	Buying Tickets	216	START	1562681294487	1562681294487
USER	Buying Tickets	211	START	1562681294486	1562681294486
USER	Buying Tickets	220	START	1562681294487	1562681294487
USER	Buying Tickets	221	START	1562681294487	1562681294487
USER	Buying Tickets	222	START	1562681294487	1562681294487
USER	Buying Tickets	223	START	1562681294487	1562681294487
USER	Buying Tickets	224	START	1562681294487	1562681294487
USER	Buying Tickets	225	START	1562681294487	1562681294487
USER	Buying Tickets	228	START	1562681294487	1562681294487
USER	Buying Tickets	229	START	1562681294488	1562681294488
USER	Buying Tickets	226	START	1562681294487	1562681294487
